id,Country,Postal Code,Credit Card Type
Mazda,MPV,1998,JHMGE8G24AS283531
Kia,Sedona,2002,JTDKDTB36F1481381
Porsche,Panamera,2012,5J8TB18279A927590
Mazda,MPV,1992,1G6YV34A055158621
Subaru,Loyale,1992,5LMJJ3J54DE815655
GMC,Yukon,2004,4JGCB2FE1CA110829
Subaru,Legacy,2002,WBAXA5C50ED517229
Suzuki,SJ,1989,KMHD35LH3FU011403
Pontiac,LeMans,1964,2T1KE4EE9AC330426
Isuzu,Rodeo,2004,JTDZN3EU3FJ255900
Dodge,Charger,1999,JTEBU5JR0E5534662
Buick,Electra,1990,3D7TT2CT6AG532037
Mitsubishi,Galant,1996,SALSF2D48AA470118
GMC,Savana 3500,2011,4A31K3DT7AE975097
Bentley,Continental Flying Spur,2007,4JGDF2EE9FA605827
Volvo,XC60,2012,1FMJK1G58AE409253
Mercedes-Benz,S-Class,1998,2HNYD2H60DH102468
Eagle,Talon,1992,1FA6P0G7XE5664735
Cadillac,SRX,2012,3D4PH9FG0BT850820
Volkswagen,Jetta,2000,WA1YD54B93N496465
Spyker,C8,2005,1GD322CG0EF953500
Maserati,Quattroporte,2005,1FMJK1G50DE980580
Mazda,B-Series,2006,WAUEF98E87A429722
Pontiac,Grand Prix,1974,WBANA53565C668380
Mazda,B2600,1987,JH4DC44691S320145
Mercury,Villager,2001,TRUVD38J491052074
Ford,E250,2005,3GTU1YEJ2BG565587
Mazda,Millenia,1996,19XFB4F21EE259034
Ford,E250,2003,2G4GU5GX3E9994297
Rolls-Royce,Phantom,2009,2HNYD18292H824428
Chevrolet,S10 Blazer,1994,WAULD64B53N248233
Chrysler,300M,2002,1G6DC8EY4B0737682
Nissan,Sentra,2000,5GAKRAKD1FJ168867
Land Rover,LR4,2011,1GYS4LKJ4FR189545
Chevrolet,Corvette,1994,KNADN5A38F6507479
Mazda,MPV,2003,WD3PE7DC9F5770720
Porsche,Cayenne,2009,KM8JT3AB4DU674028
Subaru,Forester,2002,SAJWA0FS3FP335836
Land Rover,Range Rover,1986,1G6DA8E51C0161241
Nissan,Xterra,2012,1G6KP5ES4BU799520
Mitsubishi,Mirage,1985,WAUKF78P69A619272
Mercedes-Benz,500E,1993,1GD11ZCGXDF972850
Toyota,Tacoma Xtra,1995,WBAKB0C55BC452065
Pontiac,Parisienne,1985,JM1NC2JF1F0808832
Mazda,Miata MX-5,2001,WBALW3C53DC806081
Ford,E-Series,1986,YV4940BL5D1149875
Chrysler,LHS,1994,1C4RJEAG8DC597691
Subaru,Forester,2002,WBA3B1C52FP714603
Dodge,Ram Van 3500,2002,WAUMR44E86N579767
Isuzu,Hombre,1999,JN8AS5MT6BW326308
Mitsubishi,Endeavor,2006,JN1CV6EKXEM784377
GMC,Sierra 2500,2006,2C3CCABGXFH330497
Land Rover,Range Rover,2007,3D7TP2HT6AG038189
Lincoln,Mark VIII,1996,5TDDK3DC9DS009400
Kia,Rio,2011,WP0CA2A88AS188427
Mercedes-Benz,M-Class,2001,WDDGF4HB5CA847742
Infiniti,QX,2008,WA1BY74L59D801148
Toyota,Sienna,2010,WBABS534X3E295434
Chevrolet,Silverado 3500,2004,2C3CCAJG2EH812896
Volkswagen,GTI,2007,1GYUCBEF6AR367512
Porsche,914,1970,WAUFFBFL4CA255803
Oldsmobile,Silhouette,1994,WAUML64B94N953724
Buick,Skylark,1986,WBAKF5C53DE824768
Ford,Flex,2012,JH4KB16348C218459
Honda,Odyssey,2010,KMHEC4A49FA062162
Plymouth,Neon,1996,1B3CB1HA2BD813167
Chrysler,Town & Country,2010,1D7CE3GK2AS591807
Hyundai,Entourage,2007,WAUHGBFC1DN842606
Saab,900,1999,2C3CDZBT5FH109592
Chrysler,300,2011,WAUMFBFL7BN209879
Ford,Courier,1987,WAUKFAFL0CA006231
Acura,TL,1997,WAUAFAFH5AN108802
GMC,Savana 1500,2005,W04G15GV4B1021743
Ford,Club Wagon,1994,WAUAFAFL4CA741225
Maserati,Quattroporte,1984,WAULT58E13A925125
